CodMunIBGE,Habitantes 2010
4120101,4514
3201803,4516
2205532,4517
2210904,4522
2205565,4523
2202711,4525
3122603,4535
3509809,4539
2413557,4540
2202851,4541
3116407,4542
2504355,4543
1717800,4544
2207751,4546
3142254,4549
2700805,4551
3136520,4553
2206753,4556
3114808,4556
2911253,4561
4106704,4563
3517109,4565
3136579,4566
5218706,4566
1718907,4568
4103008,4568
4110904,4568
4126355,4568
5000252,4569
3157302,4570
3165909,4574
4308458,4575
5104559,4575
3160801,4577
2513802,4581
5106208,4587
1716307,4588
2107308,4590
1707306,4592
3533254,4592
4113809,4592
3140605,4595
3541059,4599
3157500,4600
1703909,4601
2900603,4602
4115507,4603
3158805,4607
1720101,4608
2406809,4612
2111953,4613
5220157,4617
3111705,4628
2304806,4629
3146404,4631
4218756,4633
3108701,4637
3150406,4640
3529500,4640
4209854,4642
3501400,4650
2209955,4651
2205276,4656
3143153,4656
3150703,4656
3162252,4656
3144409,4658
3169802,4658
2908804,4663
4126702,4664
2203602,4665
1705557,4669
4313037,4671
4302659,4675
4107546,4677
4206652,4679
3120839,4680
2508109,4681
4306304,4683
5205208,4686
2504702,4687
3127057,4687
2201002,4688
3142304,4689
3171154,4689
1200435,4691
2410504,4692
2202117,4693
1600212,4696
2408508,4699
2110807,4702
5219738,4703
2203230,4704
4217253,4704
3150307,4709
4309803,4710
3154408,4711
3128253,4718
4209151,4721
4107850,4726
4318424,4726
3170651,4733
5222203,4735
4311718,4738
4207601,4752
2209807,4754
3518909,4754
3112208,4755
2205516,4757
3120607,4757
2514404,4760
2409332,4762
5219258,4762
3121308,4768
3135902,4768
3104452,4770
2402907,4772
4120408,4784
4213104,4786
5102694,4786
4312609,4791
4219176,4793
4107702,4802
3138351,4804
3554201,4809
1101450,4810
2504207,4812
3528700,4812
3545100,4818
4118451,4822
3520608,4825
2202554,4826
4215075,4838
5221502,4839
3526308,4841
2408805,4845
3115359,4846
2205599,4850
4312302,4855
4120655,4856
5003108,4862
3126604,4863
4300877,4864
2912608,4866
5103437,4866
4303202,4868
2203271,4869
2400604,4871
5208103,4883
3500758,4884
2107258,4885
1101559,4888
4213302,4894
2505352,4900
4111704,4902
4112306,4903
3139102,4904
4200309,4904
4206603,4908
4312203,4911
2211357,4913
2209351,4917
3148400,4918
4309704,4919
4305504,4922
3112653,4925
3156106,4925
5007505,4928
4320305,4929
5108808,4932
3122108,4937
5006259,4940
3118106,4943
4305447,4944
3164407,4948
5209150,4949
1715705,4954
4303301,4954
1708304,4956
2705903,4957
3504305,4959
3104809,4960
5208301,4962
3145372,4963
3110103,4968
2803104,4972
4115457,4981
3105202,4987
3132008,4988
2509503,4990
3157401,4992
2207405,4993
3159308,4993
3512605,5001
3107208,5007
3120409,5007
5213905,5007
1706001,5009
4310538,5010
4216057,5012
2413706,5020
5204953,5020
3507704,5021
4107157,5027
5103908,5027
4126272,5028
1702158,5030
3108800,5030
3527702,5030
2502300,5035
2503100,5035
3129400,5036
5007307,5036
2202653,5039
3509106,5039
3163904,5040
2909505,5041
2517209,5045
4115853,5046
1507755,5047
2200459,5050
4107801,5050
3102506,5053
1716653,5054
5210802,5062
3135076,5067
1720655,5068
3172103,5070
5107206,5070
4303400,5071
2203750,5074
4121109,5088
5200175,5090
2200103,5098
4116950,5098
2205458,5100
3115474,5102
2502706,5111
4312104,5111
2706208,5112
2401602,5113
4322541,5118
5104526,5123
4311908,5134
3127339,5139
3125408,5142
5222302,5145
2210052,5148
2209377,5149
3553856,5151
3503000,5152
2200277,5153
4314068,5154
5102686,5154
2511707,5155
3135704,5156
3117603,5158
4113759,5160
1700301,5162
4307203,5163
3123858,5175
3161403,5178
4122909,5178
4314423,5182
1703701,5185
3162575,5188
3122702,5196
4320354,5198
4219358,5207
2505279,5209
3112109,5209
3122504,5209
3121001,5211
2205904,5213
2410256,5217
3150901,5217
3155108,5217
3544608,5217
3165578,5219
3123106,5223
4109203,5227
4311627,5227
2403301,5231
2204006,5235
2414704,5236
3512506,5238
2500536,5239
5107354,5240
3505351,5244
5100359,5247
4124004,5249
4200903,5250
2913309,5255
1507466,5265
5208509,5265
3145455,5267
3302452,5269
4124509,5269
1706506,5273
2705309,5275
3155306,5276
5104542,5276
2205607,5281
3158102,5284
4323101,5285
3148202,5287
3537701,5287
3555356,5289
3155900,5292
2101350,5293
3102050,5297
2201919,5304
4218103,5308
4322905,5311
4306734,5313
5101852,5314
2201705,5319
2802205,5324
2513505,5331
3105301,5338
1707652,5340
2405207,5345
3138500,5346
1703107,5349
3524907,5349
4126108,5349
4321352,5351
4301800,5357
4113452,5361
5003504,5364
2513307,5369
2205524,5373
2910909,5384
2201929,5393
3135407,5395
3539905,5395
5106653,5395
5002803,5398
2402808,5405
2414159,5406
2202109,5408
3160959,5408
2703403,5413
3547007,5413
4315008,5413
4108452,5420
3138708,5422
3136108,5425
3517307,5425
3554904,5427
5105234,5431
4118600,5434
5106182,5436
5210604,5437
4100905,5443
3553203,5447
5106802,5449
3544806,5451
4304002,5459
5215504,5467
2101806,5469
2204352,5475
2109700,5487
5103106,5490
3107703,5491
4117206,5503
4303806,5506
2514453,5508
5200852,5508
5203807,5509
4311700,5510
2209302,5513
4107108,5516
5100102,5516
4125308,5517
4316204,5518
2405405,5522
2202539,5525
2702207,5526
2500205,5530
3515608,5534
3153103,5537
4200606,5548
3171071,5549
4201901,5549
4215208,5551
3136603,5555
2703700,5558
2404903,5564
2209658,5567
3509452,5567
3546504,5568
3164100,5570
2202729,5572
2102150,5577
3147956,5579
3536109,5582
4122651,5588
3111903,5589
2202133,5592
3165503,5594
2112274,5596
4210035,5600
2504033,5601
3500550,5601
2209872,5608
2501708,5611
2508802,5613
4120358,5628
2801603,5633
3163409,5636
2413102,5637
2503803,5637
2802601,5645
3116001,5645
2603405,5648
3502309,5653
4118857,5653
3203601,5655
3524501,5657
3171907,5658
1700350,5671
2202091,5671
2210300,5675
3534203,5675
3167806,5676
4312476,5676
3166006,5683
4115358,5684
4117453,5692
3159506,5697
4316758,5697
5209937,5699
3501806,5706
4207403,5707
3136959,5708
3552908,5714
2929354,5715
3105509,5720
2205151,5722
3545704,5723
4128633,5727
4319208,5727
2403707,5734
4103354,5735
1100601,5736
3164472,5739
1713809,5740
4301651,5741
2413300,5743
4315909,5743
2614402,5744
2503902,5749
2502102,5751
5219100,5751
2413607,5752
3120300,5760
3131000,5760
3122405,5763
3169109,5764
2512721,5765
4319109,5773
3161304,5776
2200905,5779
3536802,5780
4311601,5780
4321956,5787
3119955,5790
3552007,5792
3133907,5799
3126752,5800
1600238,5802
3164605,5805
4126405,5817
2403400,5822
4107306,5828
3134103,5830
3167707,5830
3146255,5834
4126900,5836
4320552,5850
3130408,5859
4308706,5862
3108206,5865
2406007,5868
3126802,5879
1701309,5882
3122355,5884
3532801,5891
3553104,5894
3535705,5898
4322103,5898
5005152,5900
5008404,5901
2100105,5905
4124905,5911
3523701,5914
4305439,5917
3127503,5921
2412104,5922
