date,IDHM 2010,CodMunIBGE
2010-01-01,0.594,2200707
2010-01-01,0.62,2200806
2010-01-01,0.583,2200905
2010-01-01,0.519,2200954
2010-01-01,0.56,2201002
2010-01-01,0.499,2201051
2010-01-01,0.554,2201101
2010-01-01,0.564,2201150
2010-01-01,0.577,2201176
2010-01-01,0.595,2201200
2010-01-01,0.557,2201309
2010-01-01,0.612,2201408
2010-01-01,0.545,2201507
2010-01-01,0.576,2201556
2010-01-01,0.551,2201572
2010-01-01,0.557,2201606
2010-01-01,0.612,2201705
2010-01-01,0.489,2201739
2010-01-01,0.575,2201770
2010-01-01,0.632,2201804
2010-01-01,0.668,2201903
2010-01-01,0.532,2201919
2010-01-01,0.542,2201929
2010-01-01,0.56,2201945
2010-01-01,0.577,2201960
2010-01-01,0.515,2201988
2010-01-01,0.565,2202000
2010-01-01,0.574,2202026
2010-01-01,0.583,2202059
2010-01-01,0.562,2202075
2010-01-01,0.546,2202083
2010-01-01,0.588,2202091
2010-01-01,0.544,2202109
2010-01-01,0.537,2202117
2010-01-01,0.56,2202133
2010-01-01,0.528,2202174
2010-01-01,0.656,2202208
2010-01-01,0.583,2202251
2010-01-01,0.576,2202307
2010-01-01,0.583,2202406
2010-01-01,0.553,2202455
2010-01-01,0.552,2202505
2010-01-01,0.505,2202539
2010-01-01,0.541,2202554
2010-01-01,0.587,2202604
2010-01-01,0.488,2202653
2010-01-01,0.497,2202703
2010-01-01,0.555,2202711
2010-01-01,0.498,2202729
2010-01-01,0.565,2202737
2010-01-01,0.628,2202752
2010-01-01,0.588,2202778
2010-01-01,0.589,2202802
2010-01-01,0.546,2202851
2010-01-01,0.642,2202901
2010-01-01,0.573,2203008
2010-01-01,0.566,2203107
2010-01-01,0.607,2203206
2010-01-01,0.542,2203230
2010-01-01,0.555,2203255
2010-01-01,0.527,2203271
2010-01-01,0.618,2203305
2010-01-01,0.561,2203354
2010-01-01,0.601,2203404
2010-01-01,0.55,2203420
2010-01-01,0.549,2203453
2010-01-01,0.58,2203503
2010-01-01,0.595,2203602
2010-01-01,0.605,2203701
2010-01-01,0.548,2203750
2010-01-01,0.547,2203800
2010-01-01,0.538,2203859
2010-01-01,0.7,2203909
2010-01-01,0.564,2204006
2010-01-01,0.577,2204105
2010-01-01,0.553,2204154
2010-01-01,0.608,2204204
2010-01-01,0.619,2204303
2010-01-01,0.561,2204352
2010-01-01,0.548,2204402
2010-01-01,0.65,2204501
2010-01-01,0.508,2204550
2010-01-01,0.599,2204600
2010-01-01,0.563,2204659
2010-01-01,0.624,2204709
2010-01-01,0.63,2204808
2010-01-01,0.582,2204907
2010-01-01,0.541,2205003
2010-01-01,0.583,2205102
2010-01-01,0.535,2205151
2010-01-01,0.524,2205201
2010-01-01,0.593,2205250
2010-01-01,0.566,2205276
2010-01-01,0.591,2205300
2010-01-01,0.561,2205359
2010-01-01,0.522,2205409
2010-01-01,0.504,2205458
2010-01-01,0.618,2205508
2010-01-01,0.57,2205516
2010-01-01,0.582,2205524
2010-01-01,0.555,2205532
2010-01-01,0.597,2205540
2010-01-01,0.55,2205557
2010-01-01,0.502,2205565
2010-01-01,0.529,2205573
2010-01-01,0.583,2205581
2010-01-01,0.541,2205599
2010-01-01,0.584,2205607
2010-01-01,0.541,2205706
2010-01-01,0.545,2205805
2010-01-01,0.563,2205854
2010-01-01,0.573,2205904
2010-01-01,0.562,2205953
2010-01-01,0.59,2206001
2010-01-01,0.525,2206050
2010-01-01,0.562,2206100
2010-01-01,0.539,2206209
2010-01-01,0.623,2206308
2010-01-01,0.508,2206357
2010-01-01,0.615,2206407
2010-01-01,0.561,2206506
2010-01-01,0.578,2206605
2010-01-01,0.542,2206654
2010-01-01,0.55,2206670
2010-01-01,0.53,2206696
2010-01-01,0.576,2206704
2010-01-01,0.586,2206753
2010-01-01,0.533,2206803
2010-01-01,0.562,2206902
2010-01-01,0.528,2206951
2010-01-01,0.634,2207009
2010-01-01,0.576,2207108
2010-01-01,0.541,2207207
2010-01-01,0.575,2207306
2010-01-01,0.559,2207355
2010-01-01,0.557,2207405
2010-01-01,0.562,2207504
2010-01-01,0.509,2207553
2010-01-01,0.575,2207603
2010-01-01,0.687,2207702
2010-01-01,0.561,2207751
2010-01-01,0.563,2207777
2010-01-01,0.514,2207793
2010-01-01,0.6,2207801
2010-01-01,0.526,2207850
2010-01-01,0.571,2207900
2010-01-01,0.562,2207934
2010-01-01,0.554,2207959
2010-01-01,0.698,2208007
2010-01-01,0.566,2208106
2010-01-01,0.564,2208205
2010-01-01,0.596,2208304
2010-01-01,0.635,2208403
2010-01-01,0.549,2208502
2010-01-01,0.563,2208551
2010-01-01,0.565,2208601
2010-01-01,0.515,2208650
2010-01-01,0.589,2208700
2010-01-01,0.591,2208809
2010-01-01,0.541,2208858
2010-01-01,0.52,2208874
2010-01-01,0.601,2208908
2010-01-01,0.572,2209005
2010-01-01,0.601,2209104
2010-01-01,0.577,2209153
2010-01-01,0.544,2209203
2010-01-01,0.588,2209302
2010-01-01,0.574,2209351
2010-01-01,0.567,2209377
2010-01-01,0.584,2209401
2010-01-01,0.619,2209450
2010-01-01,0.613,2209500
2010-01-01,0.596,2209559
2010-01-01,0.61,2209609
2010-01-01,0.485,2209658
2010-01-01,0.57,2209708
2010-01-01,0.56,2209757
2010-01-01,0.616,2209807
2010-01-01,0.559,2209856
2010-01-01,0.515,2209872
2010-01-01,0.582,2209906
2010-01-01,0.559,2209955
2010-01-01,0.523,2209971
2010-01-01,0.645,2210003
2010-01-01,0.565,2210052
2010-01-01,0.573,2210102
2010-01-01,0.552,2210201
2010-01-01,0.594,2210300
2010-01-01,0.595,2210359
2010-01-01,0.554,2210375
2010-01-01,0.563,2210383
2010-01-01,0.535,2210391
2010-01-01,0.556,2210409
2010-01-01,0.595,2210508
2010-01-01,0.661,2210607
