CodMunIBGE,Receitas Correntes 2010 (R$)
5108857,9073439.78
2202554,9078522.39
2910909,9087106.46
5104500,9091472.0
4211652,9092524.25
4120408,9094742.0
3112109,9101074.8
4123824,9101929.06
1703701,9102542.0
2515930,9103853.23
3122405,9103952.05
3110806,9105880.45
4312377,9109096.87
3536570,9109269.01999999
3114709,9109981.26999999
3105301,9113693.41
1703206,9114308.81
3148202,9121349.18999999
3160801,9121494.66
4318614,9121952.97
2515807,9122579.95
3143609,9127766.18999999
3138708,9128976.2
4312427,9134805.62
3121001,9136499.99
4319752,9137489.0
3160207,9137576.76
3126752,9139735.66
4205605,9140491.04
1600204,9144884.9
4301859,9145517.07
2514206,9147602.34
4201901,9152707.4
4103479,9158660.0
2507804,9162545.68999999
2101350,9163943.49
2505204,9166639.68
2405900,9167009.2
4319703,9168935.29
3105707,9169771.32
3171154,9171438.64
4300570,9171457.48
4120101,9173676.01
2209971,9174343.5
5220264,9182234.98
3152131,9184614.35
3122603,9184828.45
3145505,9188312.18
4312302,9188667.79
4209805,9195542.82
4320859,9201395.0
3162658,9201521.11
2205854,9202974.54
4320354,9205132.14
2803104,9207043.09
3136579,9208733.36
3115474,9213163.06
3162609,9220627.49
1720804,9222817.71
2408805,9224919.36
5204953,9226312.6
3155108,9227360.21
1716653,9230668.66
3145372,9233094.88
2505600,9238100.05
3140100,9242784.73
4214300,9247797.51999999
3532868,9249848.89
4307054,9250036.01999999
3136553,9251511.26999999
2105906,9256587.18
3510104,9260542.0
3515129,9261148.46
2801603,9274699.87
2918902,9275388.63
2505279,9277495.86
3128808,9278056.42
3138674,9280093.29
2500775,9282258.0
4201109,9283571.47
2502607,9288338.68999999
4318424,9289143.09
3125408,9289573.7
2801108,9290907.82
5221809,9297979.9
4312385,9304277.33
5108204,9309447.0
3533304,9317440.16
2200707,9319196.29
5107750,9319528.58
4206801,9319719.93
4305371,9319723.95
4215208,9333402.55
5213772,9334597.29
4211850,9336245.86
2509396,9338016.12
3144359,9341682.87
3135902,9350476.51
3160900,9354406.87
2410603,9356366.25
2505352,9361351.88
2502102,9364316.18999999
3146255,9364640.05
4122651,9364657.48
3534500,9367187.4
3108503,9368683.12
3105202,9370353.95
5108808,9374631.14
4112306,9378988.76999999
2512804,9382254.14
3127909,9382270.89
4310652,9383135.76
3101631,9384878.66
3148905,9386068.9
2206670,9386241.18999999
3163904,9387360.26999999
4322327,9390586.4
4307450,9395951.14
4321832,9396406.95
2111672,9398172.53
2512077,9400995.01
2208700,9402688.34
2510006,9403775.91
5219407,9405426.54
2403806,9407136.42
3163805,9408011.03
5218706,9410123.51
3513306,9414835.66
1721109,9415885.76999999
5203962,9423114.68
3166105,9425882.57
4305587,9426599.3
3120607,9427648.39
2206696,9427670.38
4207759,9427688.66
4323457,9428886.7
4124004,9430216.68999999
5106851,9431728.42
4126702,9433990.6
2908804,9434876.83
5214861,9439835.22
2401602,9439937.66
2409506,9440090.81
2403400,9441209.24
5100508,9444080.3
2900603,9446016.68999999
3101409,9446372.16
2406205,9447426.35
3113800,9447511.12
3123528,9449646.83
5215900,9449875.53
3162252,9454660.45
3171071,9456159.74
4215075,9457873.66
4312005,9459952.13
3122900,9461114.17
4110904,9468438.67
4316972,9470921.93
3115706,9473391.91
3121407,9477886.54
3102407,9485598.76
4119707,9485951.58
3146750,9488532.8
3150604,9489660.65
4313490,9491150.62
4125555,9494169.04
3530409,9495556.01
2704906,9497763.43999999
5208152,9501503.0
3112653,9502688.59
4305850,9503610.24
5210604,9504698.0
2505402,9505009.38
3507159,9505102.0
2205953,9505423.87
4317756,9506701.66
2204907,9507688.5
5108303,9511955.99
2405207,9512092.38
5101605,9514092.29
3536901,9514817.47
3505005,9518307.66
4306320,9524421.73
3164431,9525326.2
3535903,9529179.26999999
4212239,9530020.89
2206357,9530656.43999999
4310900,9537123.03
4200051,9537987.18999999
4304101,9540476.49
3540101,9548923.48
5203575,9550221.95
4323606,9552517.36
2802205,9563536.86
4202701,9563660.33
5219100,9565837.83
2409332,9567594.8
2110658,9575441.26
4322152,9581292.88
4103958,9585745.96
4103024,9589897.47
3105509,9591455.93999999
1506401,9596544.89
4107553,9601611.18999999
2807006,9601874.59
5106208,9602394.12
3136108,9605595.43
3520806,9605887.96
3129400,9606783.14
4217253,9608037.53
3549250,9608287.65
4304952,9608835.2
3144672,9610571.89
4128658,9616822.95
4322525,9618166.36
2204659,9620104.21
2202083,9621252.0
1717909,9628518.53
3165578,9633902.42
3514924,9637741.15
5106315,9638258.51999999
3124708,9639740.54
5219738,9644078.0
3108107,9645234.39
4306379,9645440.05
4113403,9646467.8
3160959,9647743.59
5106653,9657108.32
3159308,9657362.83
4204178,9664335.71
2210656,9666674.07
4306452,9667162.6
1718865,9668342.25
1715754,9671082.26
2508505,9675684.22
5220686,9685283.43
4320230,9686693.47
4202438,9690836.75
4313334,9693425.09
2507606,9698192.84
2111250,9699289.31
4319125,9702897.53
4116307,9703286.06
3138351,9706687.87
2411007,9711735.71
3150158,9714450.17
2515005,9716130.12
2922805,9721649.47
4106704,9722890.29
3136959,9726152.6
4200754,9726560.0
3139250,9727837.12
3137304,9729892.51999999
3163102,9732258.93
4313425,9734218.7
1400233,9736476.76999999
2931103,9737502.16
3138682,9742183.54
4301958,9746849.22
3140308,9747141.64
2503605,9747760.18999999
2514909,9753472.87
3129202,9755382.62
3110103,9760567.42
3546108,9763061.87
3153707,9763151.1
2407401,9764455.1
3113602,9766585.36
4307864,9770562.85
5215256,9776619.93999999
4203154,9778959.61
3158508,9780422.62
3101201,9785288.9
3544400,9786184.35
3148400,9788282.85
2406007,9788328.26
5205521,9788981.04
5213905,9799072.55
2412708,9801191.18999999
3135001,9803632.7
2913309,9805777.34
5104906,9810706.45
4210902,9812753.43
3165404,9815687.54
4107306,9819017.4
3145851,9821594.47
2516805,9826784.55
3129657,9827436.66
3157658,9831641.47
3141306,9832880.0
2515971,9834413.25
3541109,9837008.07
3547106,9837702.39
3171709,9839384.26
2109759,9839434.06
4307831,9840557.42
4315552,9840959.83
4124905,9845787.62
3112406,9847585.32
4305439,9849103.67
4213351,9850478.0
3118908,9853231.62
4313086,9855905.2
2203107,9864160.86
4120309,9864725.75
2513158,9873570.74
3157609,9876624.35
4305871,9881640.13
4318465,9891267.67
3153509,9891527.78
1714203,9900671.22
4305959,9906289.0
4303202,9909380.75
2909505,9921358.01999999
4213005,9924875.03
3161403,9925879.28
4323705,9926857.18999999
3138906,9927695.15
3120870,9928033.23
4126652,9930909.81
3131109,9931964.51999999
2410207,9934096.16
3545100,9939404.83
4200309,9941353.54
3135704,9952446.31
3154408,9954554.68999999
3527702,9955449.89
2413102,9957369.38
3528858,9958368.84
4122800,9961757.93999999
2109239,9963165.0
2504157,9963260.34
3167509,9965304.26
2111631,9969296.4
5215405,9970613.87
3156304,9970747.73
4214904,9972741.2
3154150,9973758.98
4303301,9974675.3
3130606,9983005.81
3508900,9984463.53
3165206,9985530.51
1710508,9985607.18999999
2111722,9986359.18999999
2112274,9989178.3
3125606,9992382.38
2507408,9994470.7
2202059,9995046.68999999
4311130,9996949.96
1722081,9998376.87
3164472,10001145.45
4218103,10001416.8
4310306,10004113.46
4110003,10006326.45
4311734,10006756.6
3156452,10009591.59
3120409,10013889.65
3161205,10014590.92
3532702,10015654.0
2509156,10016195.45
5102694,10016428.78
3531001,10017917.9399999
1501253,10020469.56
2410900,10021108.09
4311791,10030096.05
1400407,10030910.72
4311981,10036589.84
3160108,10043339.28
3534104,10044569.99
4121257,10047955.67
4107801,10057623.82
2100550,10059381.1199999
2402907,10061450.7699999
2205557,10063274.6199999
2100105,10063946.33
4204152,10064365.2699999
4302238,10066138.28
4204194,10067312.48
3105004,10070256.41
5212709,10079486.3
4110409,10087293.64
2201051,10087720.31
3116902,10089763.8
4306973,10097323.38
3165909,10097863.28
3132602,10100135.07
5108352,10100445.97
5212956,10103504.53
3167400,10104123.86
4306429,10108710.0399999
4113452,10124221.88
2101970,10126993.84
4314498,10131137.18
5207352,10133240.47
3527801,10138056.32
2105658,10138493.61
3520608,10141647.51
4306304,10143103.71
2408409,10145620.35
1600238,10146137.81
4114708,10150309.67
2405009,10153842.93
3168309,10158268.11
4108700,10158330.81
4321634,10158693.2
2910776,10160449.08
5222203,10161556.43
3507456,10163839.56
4113759,10164138.1
2106672,10171721.39
3157401,10172286.74
4219358,10172907.35
3516804,10176322.85
4300455,10182800.74
2509800,10199501.38
2505006,10199649.35
4305975,10203972.88
4100103,10204860.75
4313607,10204868.1
3127339,10208548.51
4307203,10208886.65
4206603,10214475.47
4107702,10214687.35
3142403,10222518.5
3522000,10224531.28
4100905,10226155.24
2607109,10226203.68
2201606,10226224.59
2516409,10230352.2
3522653,10234286.1899999
3135456,10234473.74
3547403,10236699.55
2413003,10238810.23
5214101,10240058.25
1707702,10244948.55
5200829,10245277.58
