IDHM 2010,CodMunIBGE
0.655,2301109
0.615,2301208
0.59,2301257
0.564,2301307
0.622,2301406
0.618,2301505
0.6,2301604
0.605,2301703
0.627,2301802
0.606,2301851
0.683,2301901
0.616,2301950
0.599,2302008
0.571,2302057
0.619,2302107
0.638,2302206
0.623,2302305
0.598,2302404
0.647,2302503
0.62,2302602
0.63,2302701
0.612,2302800
0.611,2302909
0.592,2303006
0.596,2303105
0.578,2303204
0.597,2303303
0.593,2303402
0.646,2303501
0.618,2303600
0.609,2303659
0.682,2303709
0.627,2303808
0.586,2303907
0.585,2303931
0.604,2303956
0.61,2304004
0.644,2304103
0.713,2304202
0.59,2304236
0.632,2304251
0.609,2304269
0.61,2304277
0.701,2304285
0.633,2304301
0.644,2304350
0.754,2304400
0.624,2304459
0.604,2304509
0.568,2304608
0.57,2304657
0.559,2304707
0.585,2304806
0.633,2304905
0.617,2304954
0.609,2305001
0.637,2305100
0.597,2305209
0.658,2305233
0.577,2305266
0.608,2305308
0.606,2305332
0.616,2305357
0.606,2305407
0.677,2305506
0.632,2305605
0.579,2305654
0.606,2305704
0.618,2305803
0.573,2305902
0.652,2306009
0.605,2306108
0.656,2306207
0.626,2306256
0.623,2306306
0.64,2306405
0.604,2306504
0.606,2306553
0.562,2306603
0.612,2306702
0.618,2306801
0.621,2306900
0.624,2307007
0.614,2307106
0.651,2307205
0.652,2307254
0.694,2307304
0.598,2307403
0.613,2307502
0.682,2307601
0.61,2307635
0.686,2307650
0.659,2307700
0.612,2307809
0.599,2307908
0.616,2308005
0.605,2308104
0.618,2308203
0.628,2308302
0.626,2308351
0.592,2308377
0.622,2308401
0.582,2308500
0.61,2308609
0.61,2308708
0.581,2308807
0.588,2308906
0.607,2309003
0.607,2309102
0.625,2309201
0.614,2309300
0.605,2309409
0.594,2309458
0.636,2309508
0.659,2309607
0.675,2309706
0.635,2309805
0.621,2309904
0.638,2310001
0.622,2310100
0.637,2310209
0.634,2310258
0.57,2310308
0.583,2310407
0.603,2310506
0.646,2310605
0.629,2310704
0.601,2310803
0.636,2310852
0.6,2310902
0.591,2310951
0.581,2311009
0.622,2311108
0.562,2311207
0.604,2311231
0.594,2311264
0.659,2311306
0.591,2311355
0.642,2311405
0.622,2311504
0.626,2311603
0.601,2311702
0.674,2311801
0.575,2311900
0.54,2311959
0.587,2312007
0.612,2312106
0.616,2312205
0.611,2312304
0.665,2312403
0.654,2312502
0.62,2312601
0.619,2312700
0.603,2312809
0.714,2312908
0.625,2313005
0.645,2313104
0.58,2313203
0.576,2313252
0.633,2313302
0.584,2313351
0.657,2313401
0.606,2313500
0.606,2313559
0.648,2313609
0.591,2313708
0.587,2313757
0.639,2313807
0.566,2313906
0.611,2313955
0.629,2314003
0.571,2314102
0.679,2400109
0.661,2400208
0.585,2400307
0.616,2400406
0.606,2400505
0.624,2400604
0.672,2400703
0.624,2400802
0.578,2400901
0.639,2401008
0.682,2401107
0.606,2401206
0.621,2401305
0.609,2401404
0.574,2401453
0.566,2401503
0.582,2401602
0.629,2401651
0.584,2401701
0.592,2401800
0.574,2401859
0.587,2401909
0.71,2402006
0.626,2402105
0.579,2402204
0.638,2402303
0.659,2402402
0.589,2402501
0.616,2402600
0.607,2402709
0.587,2402808
0.578,2402907
0.654,2403004
0.691,2403103
0.621,2403202
0.766,2403251
0.629,2403301
0.623,2403400
0.558,2403509
0.66,2403608
0.636,2403707
0.597,2403756
0.642,2403806
0.606,2403905
0.597,2404002
0.564,2404101
0.638,2404200
0.592,2404309
0.664,2404408
0.626,2404507
0.55,2404606
0.603,2404705
0.679,2404804
0.624,2404853
0.614,2404903
0.604,2405009
0.569,2405108
0.615,2405207
0.574,2405306
0.569,2405405
0.565,2405504
0.603,2405603
0.663,2405702
0.595,2405801
0.53,2405900
0.608,2406007
0.601,2406106
0.595,2406155
0.601,2406205
0.553,2406304
0.589,2406403
0.585,2406502
0.582,2406601
0.624,2406700
0.625,2406809
0.646,2406908
0.608,2407005
0.64,2407104
0.665,2407203
0.617,2407252
0.609,2407302
0.622,2407401
0.608,2407500
0.644,2407609
0.557,2407708
0.609,2407807
0.598,2407906
0.72,2408003
0.763,2408102
0.622,2408201
0.629,2408300
0.585,2408409
0.645,2408508
0.589,2408607
0.603,2408706
0.549,2408805
0.676,2408904
0.569,2408953
0.606,2409100
0.589,2409209
0.618,2409308
0.59,2409332
0.678,2409407
0.559,2409506
0.558,2409605
0.583,2409704
0.568,2409803
0.631,2409902
0.614,2410009
0.587,2410108
0.621,2410207
0.59,2410256
0.563,2410306
0.567,2410405
0.608,2410504
0.654,2410603
0.584,2410702
0.591,2410801
0.592,2410900
0.604,2411007
0.635,2411056
0.605,2411106
0.635,2411205
0.591,2411403
0.642,2411429
0.62,2411502
0.555,2411601
0.595,2411700
0.608,2411809
0.628,2411908
0.661,2412005
0.655,2412104
0.611,2412203
0.615,2412302
0.694,2412401
0.606,2412500
0.591,2412559
0.622,2412609
0.589,2412708
0.611,2412807
0.585,2412906
0.642,2413003
0.583,2413102
0.57,2413201
0.582,2413300
0.614,2413359
0.597,2413409
0.592,2413508
0.598,2413557
0.604,2413607
0.572,2413706
0.612,2413805
0.569,2413904
0.608,2414001
0.592,2414100
0.623,2414159
0.645,2414209
0.64,2414308
0.572,2414407
0.602,2414456
0.618,2414506
0.596,2414605
0.626,2414704
0.555,2414753
0.587,2414803
0.592,2414902
0.576,2415008
0.572,2500106
0.597,2500205
0.582,2500304
0.576,2500403
0.595,2500502
0.578,2500536
