CodMunIBGE,Habitantes 2010
4103958,4076
3549607,4077
313260,4079
313260,4079
3132602,4079
3167905,4079
4212239,4080
3160108,4085
5107248,4085
316010,4090
316010,4090
316010,4090
4318481,4094
411970,4095
411970,4095
4119707,4095
354960,4097
354960,4097
354960,4097
354960,4097
354960,4097
354960,4097
312630,4098
431030,4098
312630,4098
431030,4098
3126307,4098
4310850,4098
316810,4102
316810,4102
3501103,4102
4310306,4102
350110,4105
350110,4105
350110,4105
313140,4106
313140,4106
421240,4107
421240,4107
3131406,4107
4212403,4107
3168101,4112
3136801,4113
2210631,4116
3531704,4120
5213772,4122
354110,4123
353170,4123
354110,4123
353170,4123
354110,4123
353170,4123
354110,4123
1703073,4123
3541109,4123
3150000,4128
315000,4129
315000,4129
4320859,4131
4121257,4134
316020,4135
316020,4135
3160207,4135
352560,4138
352560,4138
352560,4138
2513927,4138
4315206,4141
421960,4142
421960,4142
4219606,4142
411340,4145
411340,4145
411340,4145
4113403,4145
431520,4147
431520,4147
2207553,4147
3525607,4150
2410801,4156
241080,4157
241080,4157
5107404,4158
25AMC7097020,4160
25AMC9197020,4160
353370,4163
353370,4163
353370,4163
3533700,4163
2305100,4164
2512762,4164
230510,4165
230510,4165
230510,4165
431070,4171
431070,4171
4310702,4171
431112,4177
4311122,4177
1705607,4182
2203255,4183
353210,4186
353210,4186
353210,4186
3532108,4186
2207959,4187
240760,4188
240760,4188
2407609,4188
1718550,4191
351680,4193
351680,4193
3516804,4193
4201273,4193
3112059,4195
3163102,4198
316310,4201
316310,4201
2703908,4202
312010,4204
312010,4204
3120102,4204
170110,4213
1701101,4213
314010,4219
314010,4219
2514552,4219
3140100,4219
312740,4220
316650,4220
312740,4220
316650,4220
2501534,4220
3127404,4220
3166501,4220
432340,4221
4323408,4221
4323457,4221
354040,4223
354040,4223
354040,4223
3540408,4223
3137304,4225
313730,4227
313730,4227
241240,4231
241240,4231
2412401,4231
240400,4233
240400,4233
2404002,4233
2208858,4241
431360,4243
4313607,4243
3515194,4244
3156452,4247
420775,4253
4207759,4253
430955,4254
4309555,4254
5209408,4258
520940,4262
520940,4262
2208874,4263
220342,4264
220342,4264
2203420,4264
2512754,4264
1600253,4265
4211454,4267
350730,4268
350730,4268
350730,4268
3507308,4268
354310,4273
354310,4273
3543105,4273
353270,4274
353270,4274
353270,4274
3532702,4274
421140,4275
421140,4275
4211405,4275
3548401,4277
4106571,4278
2211704,4280
354840,4281
354840,4281
354840,4281
1720309,4283
3532207,4288
350200,4289
350200,4289
350200,4289
350200,4289
353220,4289
350200,4289
353220,4289
3532058,4290
4103479,4290
3502002,4293
353040,4295
353040,4295
353040,4295
2408409,4295
3530409,4295
3521200,4299
4110409,4299
240840,4301
421540,4301
240840,4301
421540,4301
430045,4301
4215406,4301
4300455,4301
352120,4302
352120,4302
313640,4305
313640,4305
3136405,4305
410045,4306
