CodMunIBGE,PIB 2010 (R$),VALUE
4317251,23491.174,23491174.0
2402907,23493.509,23493509.0
3117405,23510.788,23510788.0
3527504,23514.228,23514228.0
2408508,23515.35,23515350.0
2709004,23529.434,23529434.0
2200053,23564.966,23564966.0
2209005,23612.505,23612505.0
3144672,23622.912,23622912.0
2801900,23624.02,23624020.0
3115201,23636.865,23636865.0
4311429,23661.552,23661552.0
2805000,23697.995,23697995.0
3133907,23700.104,23700104.0
3521200,23714.544,23714544.0
4309126,23739.455,23739455.0
2502102,23769.555,23769555.0
2205904,23778.961,23778961.0
3159407,23819.79,23819790.0
3116209,23844.653,23844653.0
1714302,23850.485,23850485.0
3161056,23860.007,23860007.0
5203939,23871.616,23871616.0
3115474,23889.641,23889641.0
2411809,23904.924,23904924.0
2201960,23929.968,23929968.0
3127503,23936.271,23936271.0
2515930,23942.576,23942576.0
1718550,24034.815,24034815.0
2206704,24062.972,24062972.0
3150000,24065.15,24065150.0
2924108,24073.441,24073441.0
3149507,24088.887,24088887.0
3553658,24096.732,24096732.0
2700805,24114.055,24114055.0
4319364,24119.888,24119888.0
3549201,24170.689,24170689.0
3155207,24181.585,24181585.0
2919959,24189.803,24189803.0
3147956,24213.475,24213475.0
5106174,24227.981,24227981.0
3130002,24237.065,24237065.0
3549003,24270.014,24270014.0
3102506,24276.191,24276191.0
2513505,24320.653,24320653.0
2514305,24333.987,24333987.0
2929354,24334.121,24334121.0
1506906,24334.587,24334587.0
5107297,24340.493,24340493.0
4202099,24341.33,24341330.0
2922805,24345.286,24345286.0
3117207,24352.187,24352187.0
2413102,24362.078,24362078.0
4311643,24367.993,24367993.0
3106606,24369.699,24369699.0
2512200,24434.86,24434860.0
2500536,24457.847,24457847.0
3128253,24466.487,24466487.0
3163201,24468.141,24468141.0
4305934,24512.278,24512278.0
4311734,24518.815,24518815.0
2603405,24534.592,24534592.0
3125408,24537.723,24537723.0
3112208,24541.805,24541805.0
4204756,24570.037,24570037.0
3127388,24611.243,24611243.0
5107263,24623.332,24623332.0
2104628,24654.781,24654781.0
1713957,24676.846,24676846.0
2405405,24695.358,24695358.0
5220058,24748.413,24748413.0
2210201,24750.496,24750496.0
2411601,24755.561,24755561.0
3148400,24756.506,24756506.0
2402808,24794.4,24794400.0
3171154,24795.333,24795333.0
5219506,24807.828,24807828.0
2200251,24824.401,24824401.0
3150539,24885.905,24885905.0
3140605,24893.024,24893024.0
2703700,24915.968,24915968.0
4204459,24996.932,24996932.0
3129657,25026.815,25026815.0
4313441,25032.645,25032645.0
5207105,25046.479,25046479.0
3167905,25071.801,25071801.0
4320651,25083.089,25083089.0
3105202,25101.912,25101912.0
3123858,25126.246,25126246.0
2312809,25138.251,25138251.0
2503100,25138.386,25138386.0
2614402,25158.756,25158756.0
2513802,25195.836,25195836.0
3146750,25198.848,25198848.0
5107743,25214.549,25214549.0
1701051,25223.302,25223302.0
4320453,25257.95,25257950.0
2102374,25259.677,25259677.0
2705309,25263.65,25263650.0
4108551,25300.896,25300896.0
3153202,25302.185,25302185.0
3136801,25311.576,25311576.0
2200608,25362.942,25362942.0
4316428,25367.279,25367279.0
2505279,25385.208,25385208.0
3551207,25395.869,25395869.0
3554755,25408.66,25408660.0
2514008,25424.622,25424622.0
3121001,25427.234,25427234.0
1705607,25436.844,25436844.0
3136959,25442.659,25442659.0
3505005,25454.494,25454494.0
1703073,25458.056,25458056.0
2508802,25475.558,25475558.0
4322186,25545.6,25545600.0
2414704,25567.572,25567572.0
3120839,25568.481,25568481.0
3146552,25568.743,25568743.0
2705408,25580.713,25580713.0
2309904,25581.53,25581530.0
3549300,25635.895,25635895.0
3165909,25644.097,25644097.0
3505351,25657.661,25657661.0
4312005,25665.963,25665963.0
5212006,25681.912,25681912.0
5221452,25685.469,25685469.0
2202752,25686.397,25686397.0
3122108,25699.867,25699867.0
3112653,25713.563,25713563.0
2706604,25724.254,25724254.0
2702207,25725.078,25725078.0
4119251,25736.861,25736861.0
2311231,25750.424,25750424.0
2500205,25767.837,25767837.0
4209177,25787.69,25787690.0
2414159,25819.722,25819722.0
4124202,25839.938,25839938.0
2205557,25846.561,25846561.0
4205175,25847.818,25847818.0
3162252,25879.095,25879095.0
1718709,25883.953,25883953.0
3155108,25885.741,25885741.0
4108106,25906.888,25906888.0
3150208,25945.144,25945144.0
2207207,25949.291,25949291.0
4313466,25961.662,25961662.0
2202026,25980.924,25980924.0
2611533,25990.2,25990200.0
2109759,25993.18,25993180.0
2401602,26051.354,26051354.0
2205854,26051.742,26051742.0
4314787,26064.142,26064142.0
1721257,26070.701,26070701.0
2506608,26088.952,26088952.0
3160108,26091.986,26091986.0
4107124,26112.753,26112753.0
3170479,26122.652,26122652.0
5216908,26168.781,26168781.0
3126752,26175.672,26175672.0
2101939,26190.234,26190234.0
2801108,26214.406,26214406.0
5205521,26248.438,26248438.0
2509156,26253.235,26253235.0
5209408,26298.802,26298802.0
3120102,26318.033,26318033.0
4210704,26335.395,26335395.0
3136553,26349.003,26349003.0
2513307,26380.09,26380090.0
2109239,26412.089,26412089.0
2304277,26418.969,26418969.0
4318465,26426.705,26426705.0
3171402,26450.883,26450883.0
2206506,26463.702,26463702.0
3122603,26465.601,26465601.0
2501203,26484.3,26484300.0
2510204,26508.45,26508450.0
3546256,26512.791,26512791.0
2501708,26528.115,26528115.0
3141702,26545.562,26545562.0
2204907,26549.933,26549933.0
5214903,26558.204,26558204.0
3135456,26599.306,26599306.0
5204557,26602.429,26602429.0
3127206,26613.455,26613455.0
2202778,26680.339,26680339.0
4214151,26722.403,26722403.0
3123502,26723.815,26723815.0
5107198,26779.164,26779164.0
4314753,26793.977,26793977.0
3114808,26796.655,26796655.0
2511707,26876.971,26876971.0
1711506,26877.672,26877672.0
2203008,26880.729,26880729.0
3103603,26910.712,26910712.0
2914208,26938.234,26938234.0
4301925,27048.717,27048717.0
2201705,27054.693,27054693.0
3150406,27072.183,27072183.0
4202156,27073.953,27073953.0
3145802,27078.236,27078236.0
2209401,27079.417,27079417.0
2313708,27089.048,27089048.0
2203453,27127.981,27127981.0
2111250,27146.761,27146761.0
2509396,27159.022,27159022.0
2514404,27174.194,27174194.0
4301073,27190.003,27190003.0
4315172,27191.341,27191341.0
4120200,27219.96,27219960.0
4215695,27220.854,27220854.0
4208955,27232.383,27232383.0
2502607,27236.455,27236455.0
3160454,27261.057,27261057.0
3105509,27267.175,27267175.0
3160009,27275.29,27275290.0
1717008,27275.386,27275386.0
2504033,27278.76,27278760.0
4312625,27279.659,27279659.0
4213906,27283.155,27283155.0
4319737,27286.271,27286271.0
2404903,27309.589,27309589.0
3146206,27353.709,27353709.0
3125309,27357.155,27357155.0
5106455,27363.785,27363785.0
4215059,27392.218,27392218.0
3116308,27421.216,27421216.0
3125200,27423.304,27423304.0
3137304,27436.745,27436745.0
4321832,27445.78,27445780.0
2919900,27481.91,27481910.0
3157500,27492.372,27492372.0
2413003,27493.558,27493558.0
5210307,27505.74,27505740.0
3171907,27528.024,27528024.0
3145851,27555.776,27555776.0
4202081,27557.809,27557809.0
4125902,27602.366,27602366.0
1705102,27637.364,27637364.0
4312179,27643.164,27643164.0
2803104,27666.201,27666201.0
3122504,27701.884,27701884.0
2907400,27760.529,27760529.0
2403202,27773.084,27773084.0
3159704,27790.025,27790025.0
5104500,27795.753,27795753.0
3130804,27822.603,27822603.0
2807006,27826.565,27826565.0
3532868,27840.761,27840761.0
4315057,27848.008,27848008.0
2701803,27883.922,27883922.0
2503555,27896.854,27896854.0
3533304,27900.223,27900223.0
2101970,27913.902,27913902.0
2504702,27947.493,27947493.0
2210938,27949.756,27949756.0
2102408,27958.901,27958901.0
2906402,27967.744,27967744.0
3156452,27969.496,27969496.0
5221304,27970.196,27970196.0
5204607,27973.144,27973144.0
4305157,28000.345,28000345.0
2300804,28052.628,28052628.0
3169059,28060.642,28060642.0
2708204,28068.772,28068772.0
1505601,28106.12,28106120.0
2803807,28116.998,28116998.0
3120300,28155.005,28155005.0
2104081,28155.158,28155158.0
5212907,28163.664,28163664.0
2922854,28168.556,28168556.0
2206696,28191.627,28191627.0
2406007,28207.335,28207335.0
2901502,28218.465,28218465.0
3549607,28250.395,28250395.0
2512721,28273.247,28273247.0
3157302,28317.762,28317762.0
2304608,28343.629,28343629.0
3122470,28359.197,28359197.0
3530003,28361.844,28361844.0
4314555,28364.188,28364188.0
2111573,28392.433,28392433.0
2111722,28400.418,28400418.0
3527256,28407.974,28407974.0
3110806,28411.225,28411225.0
3127339,28450.194,28450194.0
2602506,28450.25,28450250.0
5106273,28464.285,28464285.0
3162575,28472.035,28472035.0
2900603,28474.437,28474437.0
5209606,28531.775,28531775.0
3150109,28534.907,28534907.0
2107258,28562.803,28562803.0
4205431,28588.44,28588440.0
4322343,28612.721,28612721.0
4306924,28613.182,28613182.0
3146255,28615.541,28615541.0
4128302,28625.084,28625084.0
3119708,28638.246,28638246.0
2205953,28647.958,28647958.0
4308052,28684.637,28684637.0
1703909,28715.478,28715478.0
2703908,28731.46,28731460.0
5200209,28739.939,28739939.0
2918605,28765.706,28765706.0
