CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,5107743,2010,Municípios,1900.0
POPTOT,2010-01-01T00:00:00-02:00,4217154,2010,Municípios,1904.0
POPTOT,2010-01-01T00:00:00-02:00,3503356,2010,Municípios,1925.0
POPTOT,2010-01-01T00:00:00-02:00,2501153,2010,Municípios,1927.0
POPTOT,2010-01-01T00:00:00-02:00,3555208,2010,Municípios,1930.0
POPTOT,2010-01-01T00:00:00-02:00,431046,2010,AMC 91-00,1944.0
POPTOT,2010-01-01T00:00:00-02:00,431975,2010,AMC 91-00,1944.0
POPTOT,2010-01-01T00:00:00-02:00,4310462,2010,Municípios,1944.0
POPTOT,2010-01-01T00:00:00-02:00,4319752,2010,Municípios,1944.0
POPTOT,2010-01-01T00:00:00-02:00,1720937,2010,Municípios,1945.0
POPTOT,2010-01-01T00:00:00-02:00,4206751,2010,Municípios,1945.0
POPTOT,2010-01-01T00:00:00-02:00,3546256,2010,Municípios,1953.0
POPTOT,2010-01-01T00:00:00-02:00,4312955,2010,Municípios,1960.0
POPTOT,2010-01-01T00:00:00-02:00,3518008,2010,Municípios,1970.0
POPTOT,2010-01-01T00:00:00-02:00,4107520,2010,Municípios,1970.0
POPTOT,2010-01-01T00:00:00-02:00,4322855,2010,Municípios,1974.0
POPTOT,2010-01-01T00:00:00-02:00,3145406,2010,Municípios,1976.0
POPTOT,2010-01-01T00:00:00-02:00,355530,2010,AMC 70-00,1978.0
POPTOT,2010-01-01T00:00:00-02:00,355530,2010,AMC 91-00,1978.0
POPTOT,2010-01-01T00:00:00-02:00,3555307,2010,Municípios,1978.0
POPTOT,2010-01-01T00:00:00-02:00,316560,2010,AMC 70-00,1980.0
POPTOT,2010-01-01T00:00:00-02:00,316560,2010,AMC 91-00,1980.0
POPTOT,2010-01-01T00:00:00-02:00,314540,2010,AMC 70-00,1981.0
POPTOT,2010-01-01T00:00:00-02:00,314540,2010,AMC 91-00,1981.0
POPTOT,2010-01-01T00:00:00-02:00,432255,2010,AMC 91-00,1984.0
POPTOT,2010-01-01T00:00:00-02:00,4322558,2010,Municípios,1984.0
POPTOT,2010-01-01T00:00:00-02:00,4317756,2010,Municípios,1987.0
POPTOT,2010-01-01T00:00:00-02:00,3165602,2010,Municípios,1988.0
POPTOT,2010-01-01T00:00:00-02:00,5220280,2010,Municípios,1991.0
POPTOT,2010-01-01T00:00:00-02:00,3167004,2010,Municípios,1995.0
POPTOT,2010-01-01T00:00:00-02:00,316700,2010,AMC 70-00,1996.0
POPTOT,2010-01-01T00:00:00-02:00,316700,2010,AMC 91-00,1996.0
POPTOT,2010-01-01T00:00:00-02:00,431517,2010,AMC 91-00,2000.0
POPTOT,2010-01-01T00:00:00-02:00,4315172,2010,Municípios,2000.0
POPTOT,2010-01-01T00:00:00-02:00,4301925,2010,Municípios,2003.0
POPTOT,2010-01-01T00:00:00-02:00,4200754,2010,Municípios,2005.0
POPTOT,2010-01-01T00:00:00-02:00,5106315,2010,Municípios,2005.0
POPTOT,2010-01-01T00:00:00-02:00,520020,2010,AMC 60-00,2012.0
POPTOT,2010-01-01T00:00:00-02:00,520020,2010,AMC 70-00,2012.0
POPTOT,2010-01-01T00:00:00-02:00,520020,2010,AMC 91-00,2012.0
POPTOT,2010-01-01T00:00:00-02:00,5200209,2010,Municípios,2013.0
POPTOT,2010-01-01T00:00:00-02:00,431475,2010,AMC 91-00,2017.0
POPTOT,2010-01-01T00:00:00-02:00,4314753,2010,Municípios,2017.0
POPTOT,2010-01-01T00:00:00-02:00,4308250,2010,Municípios,2018.0
POPTOT,2010-01-01T00:00:00-02:00,310070,2010,AMC 60-00,2020.0
POPTOT,2010-01-01T00:00:00-02:00,310070,2010,AMC 70-00,2020.0
POPTOT,2010-01-01T00:00:00-02:00,310070,2010,AMC 91-00,2020.0
POPTOT,2010-01-01T00:00:00-02:00,3100708,2010,Municípios,2025.0
POPTOT,2010-01-01T00:00:00-02:00,4306759,2010,Municípios,2030.0
POPTOT,2010-01-01T00:00:00-02:00,3536257,2010,Municípios,2032.0
POPTOT,2010-01-01T00:00:00-02:00,520050,2010,AMC 60-00,2044.0
POPTOT,2010-01-01T00:00:00-02:00,520050,2010,AMC 70-00,2044.0
POPTOT,2010-01-01T00:00:00-02:00,520050,2010,AMC 91-00,2044.0
POPTOT,2010-01-01T00:00:00-02:00,520690,2010,AMC 70-00,2050.0
POPTOT,2010-01-01T00:00:00-02:00,520690,2010,AMC 91-00,2050.0
POPTOT,2010-01-01T00:00:00-02:00,4205191,2010,Municípios,2050.0
POPTOT,2010-01-01T00:00:00-02:00,5200506,2010,Municípios,2051.0
POPTOT,2010-01-01T00:00:00-02:00,5206909,2010,Municípios,2056.0
POPTOT,2010-01-01T00:00:00-02:00,310330,2010,AMC 70-00,2057.0
POPTOT,2010-01-01T00:00:00-02:00,310330,2010,AMC 91-00,2057.0
POPTOT,2010-01-01T00:00:00-02:00,3103306,2010,Municípios,2058.0
POPTOT,2010-01-01T00:00:00-02:00,2209450,2010,Municípios,2059.0
POPTOT,2010-01-01T00:00:00-02:00,5214804,2010,Municípios,2062.0
POPTOT,2010-01-01T00:00:00-02:00,1703602,2010,Municípios,2064.0
POPTOT,2010-01-01T00:00:00-02:00,421560,2010,AMC 70-00,2065.0
