code,date,value,uname,tcode
ADH_IDHM,7670.0,0.333,Municipality,1400027
ADH_IDHM,10957.0,0.42,Municipality,1400027
ADH_IDHM,14610.0,0.484,Municipality,1400027
ADH_IDHM,7670.0,0.306,Municipality,1400050
ADH_IDHM,10957.0,0.46,Municipality,1400050
ADH_IDHM,14610.0,0.542,Municipality,1400050
ADH_IDHM,7670.0,0.529,Municipality,1400100
ADH_IDHM,10957.0,0.649,Municipality,1400100
ADH_IDHM,14610.0,0.752,Municipality,1400100
ADH_IDHM,7670.0,0.34,Municipality,1400159
ADH_IDHM,10957.0,0.458,Municipality,1400159
ADH_IDHM,14610.0,0.626,Municipality,1400159
ADH_IDHM,7670.0,0.301,Municipality,1400175
ADH_IDHM,10957.0,0.499,Municipality,1400175
ADH_IDHM,14610.0,0.619,Municipality,1400175
ADH_IDHM,7670.0,0.405,Municipality,1400209
ADH_IDHM,10957.0,0.521,Municipality,1400209
ADH_IDHM,14610.0,0.624,Municipality,1400209
ADH_IDHM,7670.0,0.249,Municipality,1400233
ADH_IDHM,10957.0,0.492,Municipality,1400233
ADH_IDHM,14610.0,0.639,Municipality,1400233
ADH_IDHM,7670.0,0.358,Municipality,1400282
ADH_IDHM,10957.0,0.518,Municipality,1400282
ADH_IDHM,14610.0,0.582,Municipality,1400282
ADH_IDHM,7670.0,0.374,Municipality,1400308
ADH_IDHM,10957.0,0.55,Municipality,1400308
ADH_IDHM,14610.0,0.665,Municipality,1400308
ADH_IDHM,7670.0,0.278,Municipality,1400407
ADH_IDHM,10957.0,0.373,Municipality,1400407
ADH_IDHM,14610.0,0.594,Municipality,1400407
ADH_IDHM,7670.0,0.378,Municipality,1400456
ADH_IDHM,10957.0,0.544,Municipality,1400456
ADH_IDHM,14610.0,0.65,Municipality,1400456
ADH_IDHM,7670.0,0.324,Municipality,1400472
ADH_IDHM,10957.0,0.501,Municipality,1400472
ADH_IDHM,14610.0,0.619,Municipality,1400472
ADH_IDHM,7670.0,0.365,Municipality,1400506
ADH_IDHM,10957.0,0.538,Municipality,1400506
ADH_IDHM,14610.0,0.655,Municipality,1400506
